Name,SRR1140763,SRR1140994,SRR1140995,SRR1142421,SRR1142422,SRR1142423
Smp_123720.1,11.0,22.0,53.0,231.0,22.0,25.0
Smp_123810.1,14.0,25.0,152.0,337.0,88.0,166.0
Smp_123820.1,17.0,43.0,75.0,395.0,70.0,184.0
Smp_123820.2,0.0,0.0,0.0,0.0,0.0,0.0
Smp_123830.1,41.0,89.0,273.0,486.0,307.0,310.0
Smp_123840.1,16.247,14.626,108.177,155.596,37.137,385.608
Smp_123850.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_123860.1,3.0,15.0,11.0,98.0,22.0,32.0
Smp_123870.1,248.0,399.0,1219.0,3155.0,1150.0,1655.0
Smp_123900.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_123910.1,12.0,23.0,130.0,111.0,88.0,71.0
Smp_123920.1,0.0,0.0,0.0,2.266,0.0,0.0
Smp_123940.1,98.0,91.0,367.0,924.0,287.0,307.0
Smp_124000.1,307.0,284.0,672.0,12871.0,617.0,586.0
Smp_124010.1,4.999,4.488,17.2,169.923,13.513,27.652
Smp_124020.1,76.0,97.0,205.0,1444.0,289.0,294.0
Smp_124030.1,128.0,153.0,366.0,1825.0,466.0,649.0
Smp_124050.1,240.642,764.965,2709.881,7850.072,2287.414,2834.758
Smp_124050.2,0.0,0.0,0.0,0.0,0.0,0.0
Smp_124050.3,28.357,109.041,254.442,1096.308,230.586,263.215
Smp_124060.1,8.0,9.0,27.0,139.0,52.0,66.0
Smp_124070.1,884.0,1617.0,7626.0,2511.0,5530.0,4943.0
Smp_124080.1,2.0,1.0,7.0,41.0,3.0,8.0
Smp_124100.1,161.0,255.0,585.0,2207.0,933.0,996.0
Smp_124110.1,162.0,166.0,723.0,1170.0,528.0,646.0
Smp_124120.1,36.0,50.0,109.0,376.0,123.0,89.0
Smp_124130.1,94.849,133.481,521.409,1364.52,466.734,946.059
Smp_124160.1,30.588,55.628,200.806,620.004,170.457,252.957
Smp_124210.1,16.0,9.0,79.0,498.0,55.0,126.0
Smp_124230.1,35.0,68.0,197.0,301.0,250.0,350.0
Smp_124240.1,80.0,117.0,345.0,1663.0,311.0,457.0
Smp_124280.1,0.0,0.0,1.0,25.0,0.0,2.0
Smp_124290.1,17.0,36.0,115.0,160.0,79.0,151.0
Smp_124300.1,293.0,283.0,774.0,4268.0,830.0,1092.0
Smp_124320.1,103.484,174.661,590.852,2535.006,471.229,578.199
Smp_124340.1,309.0,620.0,1515.0,2634.0,1757.0,3485.0
Smp_124350.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_124350.2,34.0,50.194,199.21,271.047,153.802,221.196
Smp_124350.3,0.0,4.857,25.798,67.614,19.388,29.598
Smp_124380.1,1.0,10.0,93.0,11.0,71.0,89.0
Smp_124390.1,83.0,92.0,239.0,1179.0,289.0,238.0
Smp_124420.1,0.0,0.0,0.0,1.0,0.0,0.0
Smp_124430.1,72.0,83.0,208.0,1849.0,199.0,304.0
Smp_124440.1,274.0,310.0,1035.0,3087.0,776.0,1523.0
Smp_124450.1,108.317,62.0,218.0,1071.003,178.002,367.0
Smp_124460.1,180.0,194.0,647.0,1927.0,572.0,538.0
Smp_124470.1,1.0,0.0,2.0,11.0,0.0,8.0
Smp_124490.1,318.0,579.031,1610.045,3301.179,1864.329,2656.644
Smp_124510.1,1.0,6.0,9.0,1.0,0.0,19.0
Smp_124520.1,8.0,24.0,96.0,167.0,71.0,108.0
Smp_124590.1,2.395,6.165,18.092,216.469,11.111,25.118
Smp_124600.1,137.813,308.44,859.264,1514.041,829.402,998.234
Smp_124650.1,246.223,321.944,875.285,2418.035,819.055,1203.163
Smp_124650.2,78.698,86.026,236.123,3271.78,213.186,336.449
Smp_124660.1,62.0,44.0,235.0,953.0,250.0,318.0
Smp_124700.1,117.0,151.0,311.0,1575.0,433.0,428.0
Smp_124710.1,1.0,0.0,0.0,24.015,0.0,4.017
Smp_124720.1,21.67,41.16,74.4,902.051,136.695,151.996
Smp_124740.1,11.0,17.0,33.0,154.0,64.0,23.0
Smp_124750.1,1.0,8.0,4.0,23.0,6.0,11.0
Smp_124760.1,15.0,37.0,75.0,309.0,95.0,119.0
Smp_124770.1,0.0,0.0,0.0,47.733,0.0,9.268
Smp_124770.2,5.0,11.0,52.0,88.267,45.0,44.732
Smp_124820.1,620.0,635.0,1756.0,6210.0,1874.0,2318.0
Smp_124840.1,128.0,212.0,731.0,1281.0,576.0,579.0
Smp_124850.1,122.527,96.032,366.067,1822.663,374.558,554.16
Smp_124860.1,123.0,120.0,511.0,949.0,316.0,414.0
Smp_124890.1,2.0,4.491,5.795,33.067,3.705,7.692
Smp_124920.1,166.0,190.0,593.0,2810.0,504.0,696.0
Smp_124940.1,65.0,102.0,415.0,650.0,358.0,368.0
Smp_124980.1,19.0,32.0,107.0,267.0,66.0,164.0
Smp_125020.1,5.0,1.0,11.0,33.0,6.0,10.0
Smp_125040.1,25.0,15.0,48.0,281.0,48.0,57.0
Smp_125050.1,142.0,148.0,533.0,2307.0,496.0,781.0
Smp_125070.1,325.0,488.0,1459.0,1328.0,1459.0,1359.0
Smp_125080.1,199.0,238.0,775.0,1604.0,801.0,1317.0
Smp_125130.1,5.0,14.0,65.0,115.0,40.0,67.0
Smp_125150.1,4.0,9.0,17.0,84.0,15.0,33.0
Smp_125160.1,72.0,49.0,114.0,1381.0,170.0,257.0
Smp_125200.1,1.0,0.0,13.002,33.001,4.048,4.075
Smp_125210.1,0.0,0.0,0.0,5.0,0.0,0.0
Smp_125250.1,6.0,0.0,9.0,221.0,17.0,15.0
Smp_125260.1,144.0,193.0,568.0,1289.0,529.0,603.0
Smp_125270.1,179.771,132.122,575.588,2891.07,512.313,833.771
Smp_125280.1,181.243,282.102,946.512,2521.785,648.586,1038.604
Smp_125290.1,521.0,731.072,1904.415,7190.126,1587.0,3774.882
Smp_125300.1,74.0,110.0,255.0,1833.0,312.0,406.0
Smp_125320.1,73.0,44.0,242.0,3759.0,125.0,188.0
Smp_125340.1,77.424,71.332,369.75,1146.396,195.07,268.02
Smp_125340.2,61.576,55.668,170.25,1003.591,234.93,344.98
Smp_125350.1,99.0,93.0,211.0,1426.0,146.0,315.0
Smp_125360.1,156.0,149.0,591.0,1985.0,509.0,783.0
Smp_125370.1,30.0,16.0,39.0,397.0,74.0,113.0
Smp_125390.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_125400.1,0.0,0.0,1.0,11.737,2.009,1.023
Smp_125420.1,21.187,8.318,65.912,205.561,65.202,79.669
Smp_125440.1,259.0,439.0,933.0,5783.0,916.0,1602.0
Smp_125450.1,15.0,8.0,17.0,283.0,23.0,20.0
Smp_125460.1,115.0,117.0,411.001,2877.097,305.0,495.0
Smp_125480.1,17.0,31.0,132.0,228.0,100.0,185.0
Smp_125490.1,47.0,62.0,194.0,509.0,134.0,280.0
Smp_125500.1,22.0,34.0,103.0,288.0,106.0,98.0
Smp_125510.1,90.0,47.0,246.0,1102.0,149.0,388.0
Smp_125520.1,17.0,18.0,75.0,227.0,77.0,49.0
Smp_125550.1,525.0,646.0,2045.0,4686.0,2394.0,2671.0
Smp_125560.1,5.0,9.0,15.0,110.0,12.0,23.0
Smp_125600.1,15.271,22.216,48.763,350.891,46.541,77.883
Smp_125600.2,0.0,0.0,0.0,0.0,0.0,0.0
Smp_125630.1,59.0,81.0,107.0,1205.0,152.0,251.0
Smp_125640.1,144.0,186.0,479.0,2067.0,372.0,514.0
