Name,SRR1140763,SRR1140994,SRR1140995,SRR1142421,SRR1142422,SRR1142423
Smp_335530.1,1.601986,1.043326,1.569576,0.909992,1.623834,1.306584
Smp_335540.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_335550.1,0.0,0.571184,0.111777,0.291749,0.155452,0.181666
Smp_335560.1,21.291064,19.860542,26.903201,8.474826,30.48055,36.68486
Smp_335570.1,58.963618,57.495996,54.610745,48.102249,65.315148,42.736233
Smp_335590.1,0.346271,0.463304,0.838777,0.456095,0.709069,0.676632
Smp_335600.1,0.062717,0.0,0.098917,0.145871,0.0,0.15153
Smp_335610.1,14.30994,17.846554,11.418795,2.390824,17.598869,7.06983
Smp_335620.1,78.081832,58.20685,53.205012,57.863097,83.487941,55.11229
Smp_335630.1,63.279649,36.103928,33.77629,417.015836,45.489234,27.644557
Smp_335650.1,6.047803,6.122195,3.053838,4.969478,5.6278,6.67336
Smp_335660.1,0.0,0.0,2.345515,5.293489,1.229725,0.376305
Smp_335660.2,3.101482,1.835189,0.0,0.0,2.186317,2.102681
Smp_335670.1,0.0,4.805198,12.224523,2.366742,1.961656,3.334469
Smp_335675.1,7711.680939,5988.415558,7123.346745,8193.506251,6532.73599,4912.775721
Smp_335690.1,0.0,0.0,0.492971,0.268822,0.0,0.0
Smp_335710.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_335720.1,4.764831,11.304488,11.418956,3.657339,9.908468,8.21944
Smp_335730.1,1.067646,0.173831,0.30616,1.312819,0.567715,0.135705
Smp_335750.1,0.49802,0.104254,0.2347,1.329612,0.191521,0.275936
Smp_335760.1,0.0,1.557264,0.787701,1.889763,0.244852,0.165965
Smp_335760.2,0.0,0.0,0.0,0.513132,0.0,0.0
Smp_335770.1,3.193338,2.611086,2.251919,4.272956,1.988266,3.15739
Smp_335780.1,0.0,0.0,0.122493,0.0,0.0,0.0
Smp_335785.1,42.637619,92.640353,19.723409,17.757175,88.352834,38.055483
Smp_335800.1,0.0,0.0,0.342665,0.193211,0.096804,0.120129
Smp_335820.1,0.0,0.0,0.083439,0.124448,0.0,0.0
Smp_335830.1,0.696676,0.413214,0.2854,0.478878,0.466375,0.126503
