glay,degree,hub_status,mean_log_expression,gene,selected,shared name,variance_log_expression,weighted_degree,rede,gene_busca,motivo_prioridade
6,12,non_hub,2.1344931955961344,Smp_043500.2,False,Smp_043500.2,1.0161764417515895,11.805267652299866,negativa,Smp_043500,top_grau_rede
6,12,non_hub,2.266412663085166,Smp_150000.1,False,Smp_150000.1,0.7081549867137146,11.803349052555538,negativa,Smp_150000,top_grau_rede
6,12,non_hub,1.7320870401460629,Smp_326770.2,False,Smp_326770.2,2.791809824690332,11.792630712513333,negativa,Smp_326770,top_grau_rede
5,12,non_hub,1.1056956593752405,Smp_312620.1,False,Smp_312620.1,1.1973285962383942,11.764621805174867,negativa,Smp_312620,top_grau_rede
1,11,non_hub,3.681487834230805,Smp_155320.1,False,Smp_155320.1,1.5273445006080475,10.866326524420783,negativa,Smp_155320,top5_por_glay;top_grau_rede
11,11,non_hub,1.4106011957287217,Smp_331440.1,False,Smp_331440.1,1.1991574237666285,10.863088416591864,negativa,Smp_331440,top5_por_glay;top_grau_rede
6,11,non_hub,3.328211281191916,Smp_000790.1,False,Smp_000790.1,0.834356990384452,10.853101961475971,negativa,Smp_000790,top_grau_rede
6,11,non_hub,2.209280837912451,Smp_200460.1,False,Smp_200460.1,0.7290257663192442,10.844664788110384,negativa,Smp_200460,top_grau_rede
1,11,non_hub,0.6291734173777038,Smp_141010.2,False,Smp_141010.2,0.9198859297331836,10.839018134126746,negativa,Smp_141010,top5_por_glay;top_grau_rede
6,11,non_hub,2.853544183779615,Smp_156910.2,False,Smp_156910.2,3.808321310038137,10.807566831236857,negativa,Smp_156910,top_grau_rede
6,10,non_hub,2.07149804908858,Smp_348790.2,False,Smp_348790.2,2.416731476393506,9.887770498929877,negativa,Smp_348790,top_grau_rede
7,10,non_hub,1.7437942380632432,Smp_213510.1,False,Smp_213510.1,2.098198389340714,9.86282533183488,negativa,Smp_213510,top5_por_glay;top_grau_rede
6,10,non_hub,1.323390200105487,Smp_322760.1,False,Smp_322760.1,1.1415584469404962,9.861717342571607,negativa,Smp_322760,top_grau_rede
6,10,non_hub,2.963908129519265,Smp_328360.1,False,Smp_328360.1,0.7101058534619523,9.823364119999605,negativa,Smp_328360,top_grau_rede
11,10,non_hub,2.2883172111095367,Smp_173320.2,False,Smp_173320.2,2.7855267437285565,9.815724282618076,negativa,Smp_173320,top5_por_glay;top_grau_rede
11,10,non_hub,1.1943199060598977,Smp_054620.3,False,Smp_054620.3,0.8105832454615491,9.811970568415587,negativa,Smp_054620,top5_por_glay;top_grau_rede
7,9,non_hub,0.8338502132757453,Smp_316910.1,False,Smp_316910.1,0.9284969914440504,8.927467387941213,negativa,Smp_316910,top5_por_glay;top_grau_rede
6,9,non_hub,1.1306070455024615,Smp_347560.1,False,Smp_347560.1,0.7781686115948089,8.902872099277557,negativa,Smp_347560,top_grau_rede
7,9,non_hub,1.8465795754158592,Smp_175880.1,False,Smp_175880.1,1.805503992520987,8.897758326548201,negativa,Smp_175880,top5_por_glay;top_grau_rede
5,9,non_hub,0.8528302134993394,Smp_317510.1,False,Smp_317510.1,1.1608769146668394,8.889152496067693,negativa,Smp_317510,top_grau_rede
6,9,non_hub,1.5093792905513146,Smp_130470.2,False,Smp_130470.2,1.0892425230487277,8.874412243007098,negativa,Smp_130470,top_grau_rede
6,9,non_hub,1.445346992574605,Smp_150230.1,False,Smp_150230.1,1.2822196003059878,8.861224986162624,negativa,Smp_150230,top_grau_rede
1,9,non_hub,0.625338478650778,Smp_310980.1,False,Smp_310980.1,1.0796695612535836,8.847410179780516,negativa,Smp_310980,top5_por_glay;top_grau_rede
6,9,non_hub,4.392020251946428,Smp_204420.1,False,Smp_204420.1,10.131252231486297,8.84638592470956,negativa,Smp_204420,top_grau_rede
11,8,non_hub,1.2475145948499935,Smp_196880.2,False,Smp_196880.2,2.07836305819124,7.894316869452803,negativa,Smp_196880,top5_por_glay;top_grau_rede
7,8,non_hub,0.7641686072398407,Smp_140260.1,False,Smp_140260.1,0.7924825226657785,7.893718963620921,negativa,Smp_140260,top5_por_glay;top_grau_rede
11,8,non_hub,0.8370911428943302,Smp_170770.2,False,Smp_170770.2,0.9371279004314724,7.88966734226963,negativa,Smp_170770,top_grau_rede
6,8,non_hub,3.152905180664644,Smp_193680.1,False,Smp_193680.1,0.7253864083868268,7.886381019086139,negativa,Smp_193680,top_grau_rede
11,8,non_hub,3.113658091689964,Smp_179970.1,False,Smp_179970.1,0.8489172833557399,7.885175593889611,negativa,Smp_179970,top_grau_rede
12,8,non_hub,1.4131248868149815,Smp_266830.2,False,Smp_266830.2,1.6487948433738389,7.884291514248374,negativa,Smp_266830,top5_por_glay;top_grau_rede
6,8,non_hub,1.341527334073159,Smp_347900.1,False,Smp_347900.1,0.94439060736293,7.883782280115677,negativa,Smp_347900,top_grau_rede
6,8,non_hub,1.2564738139432852,Smp_130520.4,False,Smp_130520.4,0.7665259246038149,7.86272006781469,negativa,Smp_130520,top_grau_rede
6,8,non_hub,3.2906562339445475,Smp_317240.1,False,Smp_317240.1,0.7481687401584428,7.861584633411438,negativa,Smp_317240,top_grau_rede
1,7,non_hub,1.9436637982742435,Smp_058140.1,False,Smp_058140.1,0.8163579672114246,6.901290101420205,negativa,Smp_058140,top5_por_glay
2,7,non_hub,0.4920882457650788,Smp_245600.2,False,Smp_245600.2,0.7531085605748866,6.904659074374904,negativa,Smp_245600,top5_por_glay
2,6,non_hub,0.9060917039888262,Smp_319970.1,False,Smp_319970.1,1.7159974942354193,5.932237215021086,negativa,Smp_319970,top5_por_glay
2,5,non_hub,4.11728748524554,Smp_337670.1,False,Smp_337670.1,0.7864568288322928,4.923871446024995,negativa,Smp_337670,top5_por_glay
2,4,non_hub,4.458716659756698,Smp_007630.2,False,Smp_007630.2,0.8886756887120563,3.955241981293984,negativa,Smp_007630,top5_por_glay
2,3,non_hub,2.258066134401191,Smp_316860.1,False,Smp_316860.1,2.4299593353013806,2.943890976322562,negativa,Smp_316860,top5_por_glay
3,4,non_hub,4.249641857086605,Smp_048050.2,False,Smp_048050.2,0.882922223888415,3.977972966257089,negativa,Smp_048050,top5_por_glay
3,1,non_hub,1.1660931370407357,Smp_246970.1,False,Smp_246970.1,1.171415910048901,0.998020193754394,negativa,Smp_246970,top5_por_glay
3,1,non_hub,1.0838439075021082,Smp_181080.2,False,Smp_181080.2,1.0631142855447109,0.9976853417866404,negativa,Smp_181080,top5_por_glay
3,1,non_hub,1.3320907257998094,Smp_129410.1,False,Smp_129410.1,0.8399148330688444,0.9893598611019976,negativa,Smp_129410,top5_por_glay
