source,target,correlation,abs_correlation,interaction,relation,edge_width
Smp_341160.2,Smp_332600.2,-0.9766244261405568,0.9766244261405568,coexpressao_negativa,negativa,0.9766244261405568
Smp_330270.1,Smp_335785.1,-0.995731362027166,0.995731362027166,coexpressao_negativa,negativa,0.995731362027166
Smp_330270.1,Smp_193680.1,-0.9939232978825604,0.9939232978825604,coexpressao_negativa,negativa,0.9939232978825604
Smp_247580.1,Smp_063530.1,-0.9876080318805867,0.9876080318805867,coexpressao_negativa,negativa,0.9876080318805867
Smp_247580.1,Smp_133590.1,-0.9781766043356934,0.9781766043356934,coexpressao_negativa,negativa,0.9781766043356934
Smp_247580.1,Smp_347490.1,-0.9830325515990649,0.9830325515990649,coexpressao_negativa,negativa,0.9830325515990649
Smp_247580.1,Smp_193680.1,-0.9780908212152619,0.9780908212152619,coexpressao_negativa,negativa,0.9780908212152619
Smp_247580.1,Smp_169220.1,-0.9753209546681636,0.9753209546681636,coexpressao_negativa,negativa,0.9753209546681636
Smp_085540.2,Smp_326770.2,-0.9898197243170114,0.9898197243170114,coexpressao_negativa,negativa,0.9898197243170114
Smp_303350.1,Smp_023940.1,-0.9850231546175393,0.9850231546175393,coexpressao_negativa,negativa,0.9850231546175393
Smp_303350.1,Smp_322930.1,-0.9834413475499735,0.9834413475499735,coexpressao_negativa,negativa,0.9834413475499735
Smp_303350.1,Smp_310980.1,-0.9816532969652134,0.9816532969652134,coexpressao_negativa,negativa,0.9816532969652134
Smp_303350.1,Smp_192010.1,-0.9864646243266388,0.9864646243266388,coexpressao_negativa,negativa,0.9864646243266388
Smp_303350.1,Smp_058140.1,-0.971186099111994,0.971186099111994,coexpressao_negativa,negativa,0.971186099111994
Smp_303350.1,Smp_020450.1,-0.9910573893676735,0.9910573893676735,coexpressao_negativa,negativa,0.9910573893676735
Smp_020450.2,Smp_023940.1,-0.9868125905589178,0.9868125905589178,coexpressao_negativa,negativa,0.9868125905589178
Smp_020450.2,Smp_155320.1,-0.9840549415528584,0.9840549415528584,coexpressao_negativa,negativa,0.9840549415528584
Smp_020450.2,Smp_310980.1,-0.9919908882895838,0.9919908882895838,coexpressao_negativa,negativa,0.9919908882895838
Smp_020450.2,Smp_141010.2,-0.9726326875270104,0.9726326875270104,coexpressao_negativa,negativa,0.9726326875270104
