"__glayCluster","degree","hub_status","mean_log_expression","name","selected","shared name","variance_log_expression","weighted_degree"
"5","6","non_hub","3.0080767274101636","Smp_152630.1","false","Smp_152630.1","4.065358675268367","5.919259106501752"
"6","5","non_hub","2.869002397583876","Smp_330170.1","false","Smp_330170.1","4.04721168981496","4.9439528861239825"
"5","3","non_hub","2.943146983105005","Smp_340430.1","false","Smp_340430.1","3.8974631304856477","2.9854228066871067"
"5","6","non_hub","2.9298889539155075","Smp_047870.1","false","Smp_047870.1","3.843212004066856","5.920680029805371"
"6","11","non_hub","2.853544183779615","Smp_156910.2","false","Smp_156910.2","3.8083213100381372","10.807566831236855"
"7","2","non_hub","1.36037700947809","Smp_327820.1","false","Smp_327820.1","3.5616874651525623","1.9837358119180943"
"7","9","non_hub","1.8465795754158592","Smp_175880.1","false","Smp_175880.1","1.805503992520987","8.897758326548201"
"7","3","non_hub","3.6322045392379065","Smp_046060.1","false","Smp_046060.1","1.477677994467787","2.9281376014882534"
"6","7","non_hub","2.804467907202899","Smp_205710.1","false","Smp_205710.1","3.5408691238280756","6.899372755836437"
"11","2","non_hub","1.5307597507188098","Smp_341160.2","false","Smp_341160.2","3.397944865559112","1.9522204843195872"
"6","2","non_hub","1.4334339693116842","Smp_330270.1","false","Smp_330270.1","3.3951438356468557","1.9896546599097262"
"6","5","non_hub","2.0812671280634287","Smp_247580.1","false","Smp_247580.1","3.323553566475528","4.902228963698771"
"6","5","non_hub","1.292986627990838","Smp_063530.1","false","Smp_063530.1","1.5967135235089858","4.960847446895468"
"6","7","non_hub","1.2741724089196789","Smp_347490.1","false","Smp_347490.1","1.2073707209115145","6.915687618618335"
"6","3","non_hub","1.7454793617265152","Smp_169220.1","false","Smp_169220.1","0.7207739629457834","2.945159763651856"
"6","1","non_hub","2.290796090269577","Smp_085540.2","false","Smp_085540.2","3.2998538936918185","0.9898197243170114"
"1","7","non_hub","0.9385116130826122","Smp_023940.1","false","Smp_023940.1","2.2591167161700967","6.884705927933718"
"11","6","non_hub","1.0709630270256612","Smp_322930.1","false","Smp_322930.1","1.185792852327572","5.922342851014003"
"1","9","non_hub","0.625338478650778","Smp_310980.1","false","Smp_310980.1","1.0796695612535836","8.847410179780516"
"1","5","non_hub","0.7195419280426006","Smp_192010.1","false","Smp_192010.1","1.0744448435670728","4.923017165143069"
"11","5","non_hub","3.3484759843153458","Smp_020450.1","false","Smp_020450.1","0.7984562521447365","4.956789782437025"
"1","5","non_hub","2.530642334620782","Smp_020450.2","false","Smp_020450.2","2.8520693441658964","4.91817203585761"
"1","11","non_hub","3.681487834230805","Smp_155320.1","false","Smp_155320.1","1.5273445006080475","10.866326524420785"
"6","6","non_hub","2.1397697149653667","Smp_017470.2","false","Smp_017470.2","2.243509876650707","5.908410492705044"
"6","4","non_hub","1.5143762533266847","Smp_005190.3","false","Smp_005190.3","1.1085623114914658","3.920626965496952"
