source,target,correlation,abs_correlation,relation,interaction,edge_width,edge_sign
Smp_332600.2,Smp_127870.1,-0.9504246335463646,0.9504246335463646,negative,negative,0.9504246335463646,negative
Smp_332600.2,Smp_020450.1,-0.9610258684701752,0.9610258684701752,negative,negative,0.9610258684701752,negative
Smp_332600.2,Smp_154900.1,0.9797103155722666,0.9797103155722666,positive,positive,0.9797103155722666,positive
Smp_332600.2,Smp_314730.1,-0.9835604301025632,0.9835604301025632,negative,negative,0.9835604301025632,negative
Smp_332600.2,Smp_058050.1,-0.992339554648226,0.992339554648226,negative,negative,0.992339554648226,negative
Smp_332600.2,Smp_061250.2,-0.9742902815410376,0.9742902815410376,negative,negative,0.9742902815410376,negative
Smp_332600.2,Smp_141290.1,-0.9701870125615168,0.9701870125615168,negative,negative,0.9701870125615168,negative
Smp_332600.2,Smp_334430.1,-0.9633947593276996,0.9633947593276996,negative,negative,0.9633947593276996,negative
Smp_332600.2,Smp_335180.1,0.9824014264582468,0.9824014264582468,positive,positive,0.9824014264582468,positive
Smp_332600.2,Smp_186780.2,0.9947713572493334,0.9947713572493334,positive,positive,0.9947713572493334,positive
Smp_332600.2,Smp_152830.2,0.9797266891394296,0.9797266891394296,positive,positive,0.9797266891394296,positive
Smp_332600.2,Smp_327395.1,0.9502239625486087,0.9502239625486087,positive,positive,0.9502239625486087,positive
Smp_332600.2,Smp_349470.1,-0.9793185495396224,0.9793185495396224,negative,negative,0.9793185495396224,negative
Smp_332600.2,Smp_337890.1,-0.9722099090025318,0.9722099090025318,negative,negative,0.9722099090025318,negative
Smp_332600.2,Smp_147350.1,0.9958915100499952,0.9958915100499952,positive,positive,0.9958915100499952,positive
Smp_332600.2,Smp_134470.1,0.9794299821814934,0.9794299821814934,positive,positive,0.9794299821814934,positive
Smp_332600.2,Smp_000180.1,-0.9886521241323925,0.9886521241323925,negative,negative,0.9886521241323925,negative
Smp_062020.1,Smp_347900.1,0.9749416604431754,0.9749416604431754,positive,positive,0.9749416604431754,positive
Smp_062020.1,Smp_181180.2,0.9991563859419657,0.9991563859419657,positive,positive,0.9991563859419657,positive
Smp_062020.1,Smp_019690.1,0.9907659590087262,0.9907659590087262,positive,positive,0.9907659590087262,positive
Smp_062020.1,Smp_302310.2,-0.9671174892781644,0.9671174892781644,negative,negative,0.9671174892781644,negative
Smp_062020.1,Smp_347540.2,-0.9832233107154148,0.9832233107154148,negative,negative,0.9832233107154148,negative
Smp_062020.1,Smp_328360.1,-0.9804474191164598,0.9804474191164598,negative,negative,0.9804474191164598,negative
Smp_062020.1,Smp_150000.1,-0.9832540924250346,0.9832540924250346,negative,negative,0.9832540924250346,negative
Smp_062020.1,Smp_323810.1,-0.9980403630971084,0.9980403630971084,negative,negative,0.9980403630971084,negative
Smp_062020.1,Smp_323090.1,0.9545286424415432,0.9545286424415432,positive,positive,0.9545286424415432,positive
Smp_062020.1,Smp_319250.1,-0.9602461784112432,0.9602461784112432,negative,negative,0.9602461784112432,negative
Smp_062020.1,Smp_138160.1,0.9722021258989751,0.9722021258989751,positive,positive,0.9722021258989751,positive
Smp_062020.1,Smp_093070.1,0.99897663056618,0.99897663056618,positive,positive,0.99897663056618,positive
Smp_062020.1,Smp_134410.3,-0.9845270219713432,0.9845270219713432,negative,negative,0.9845270219713432,negative
Smp_062020.1,Smp_165350.4,-0.9977193276733238,0.9977193276733238,negative,negative,0.9977193276733238,negative
Smp_062020.1,Smp_180500.2,-0.9673699290006196,0.9673699290006196,negative,negative,0.9673699290006196,negative
Smp_062020.1,Smp_129090.1,0.984051335867222,0.984051335867222,positive,positive,0.984051335867222,positive
Smp_062020.1,Smp_101970.1,-0.981370435083575,0.981370435083575,negative,negative,0.981370435083575,negative
Smp_062020.1,Smp_342900.1,-0.980899440768089,0.980899440768089,negative,negative,0.980899440768089,negative
Smp_062020.1,Smp_349300.1,0.958623961888651,0.958623961888651,positive,positive,0.958623961888651,positive
Smp_032670.1,Smp_000790.2,-0.994742464927119,0.994742464927119,negative,negative,0.994742464927119,negative
Smp_032670.1,Smp_082410.1,0.9629395282549196,0.9629395282549196,positive,positive,0.9629395282549196,positive
Smp_032670.1,Smp_244890.1,-0.9865718709226828,0.9865718709226828,negative,negative,0.9865718709226828,negative
Smp_032670.1,Smp_000790.1,0.9546340580313316,0.9546340580313316,positive,positive,0.9546340580313316,positive
Smp_032670.1,Smp_130520.4,-0.9949823252942442,0.9949823252942442,negative,negative,0.9949823252942442,negative
Smp_032670.1,Smp_304890.2,-0.9748250801634823,0.9748250801634823,negative,negative,0.9748250801634823,negative
Smp_032670.1,Smp_317240.1,-0.9894233341303016,0.9894233341303016,negative,negative,0.9894233341303016,negative
Smp_032670.1,Smp_340300.2,0.967166032046862,0.967166032046862,positive,positive,0.967166032046862,positive
Smp_032670.1,Smp_200460.1,-0.97160683972531,0.97160683972531,negative,negative,0.97160683972531,negative
Smp_032670.1,Smp_150000.1,0.9515396146230712,0.9515396146230712,positive,positive,0.9515396146230712,positive
Smp_032670.1,Smp_336340.1,-0.9989379132168285,0.9989379132168285,negative,negative,0.9989379132168285,negative
Smp_032670.1,Smp_141290.3,0.9567927672304264,0.9567927672304264,positive,positive,0.9567927672304264,positive
