gene,degree,weighted_degree,betweenness,pagerank,mean_log_expression,variance_log_expression,hub_status,degree_rank,weighted_degree_rank,media_simpatrica,media_alopatrica,delta_alopatrica_menos_simpatrica,delta_pareado_geracao_2,delta_pareado_geracao_3,delta_pareado_medio,abs_delta_pareado_medio,direcao_condicao,rotulo
Smp_152290.1,31,30.347689545968844,0.0009079504790644,0.0021750646039201,1.3353095584916448,0.7952592633603442,non_hub,205,211,1.7565826180498068,0.9140364989334829,-0.8425461191163238,-1.706740946338793,0.02164870810614561,-0.8425461191163237,0.8425461191163237,maior_simpatrica_moderada,
Smp_074390.1,31,30.334786750109856,0.0023433855649297,0.0021007426258054,3.1757641760845505,0.8017101075313513,non_hub,205,212,3.290873621508842,3.060654730660259,-0.23021889084858316,-0.2734620981403695,-0.18697568355679728,-0.23021889084858338,0.23021889084858338,sem_diferenca_relevante,
Smp_328910.1,31,30.334332795436165,0.0031173311941506,0.0021323962147953,3.037104176122709,0.7364648362762388,non_hub,205,213,3.0785358427960654,2.9956725094493524,-0.08286333334671303,-0.02734023306301747,-0.13838643363040903,-0.08286333334671325,0.08286333334671325,sem_diferenca_relevante,
Smp_051000.1,31,30.33156294221003,0.0038212841637166,0.0020421708059931,1.2464697657334831,2.417278852306414,non_hub,205,214,0.0,2.4929395314669662,2.4929395314669662,3.2130398888368625,1.7728391740970697,2.4929395314669662,2.4929395314669662,maior_alopatrica_forte,Smp_051000.1
Smp_201340.1,31,30.319670869555694,0.0038212841637166,0.0020415174430043,0.8246972804758568,1.047911736242035,non_hub,205,215,0.0,1.6493945609517136,1.6493945609517136,2.1094123818179322,1.189376740085495,1.6493945609517136,1.6493945609517136,maior_alopatrica_forte,Smp_201340.1
Smp_322760.1,31,30.31491420389696,0.0025796386307348,0.0018347277845666,1.323390200105487,1.1415584469404962,non_hub,205,216,1.1372903668555296,1.5094900333554442,0.37219966649991454,0.9181847010633741,-0.17378536806354505,0.37219966649991454,0.37219966649991454,sem_diferenca_relevante,
Smp_347900.1,31,30.304057033719623,0.0053611650817688,0.0016935043590027,1.341527334073159,0.94439060736293,non_hub,205,217,1.1469115290221845,1.5361431391241331,0.3892316101019486,1.3766776805159695,-0.598214460312072,0.38923161010194873,0.38923161010194873,sem_diferenca_relevante,
Smp_055090.3,31,30.298618827116176,0.0033080727871722,0.0017594082603181,1.4584821776884966,1.2176139002418898,non_hub,205,218,1.0327275633176407,1.8842367920593526,0.8515092287417119,2.5146022789086016,-0.8115838214251778,0.8515092287417119,0.8515092287417119,maior_alopatrica_moderada,
Smp_133590.2,31,30.280937386058824,0.0083670600795886,0.0022190165753657,1.5597654666890135,2.2171805246902507,non_hub,205,219,1.3359082263838986,1.7836227069941293,0.44771448061023067,2.983995927972154,-2.088566966751693,0.44771448061023045,0.44771448061023045,sem_diferenca_relevante,
Smp_347950.1,31,30.262733835886976,0.0073332818800317,0.0018343369516561,0.8481211107680767,0.4503562161990436,non_hub,205,220,0.5870063059766308,1.1092359155595226,0.5222296095828918,1.5503663253928117,-0.5059071062270282,0.5222296095828918,0.5222296095828918,maior_alopatrica_moderada,
Smp_132280.1,31,30.258383425684585,0.0073332818800317,0.001834145043982,1.415136712547386,0.6756527472846057,non_hub,205,221,1.0941624358449233,1.7361109892498483,0.641948553404925,1.9008692231701931,-0.6169721163603432,0.641948553404925,0.641948553404925,maior_alopatrica_moderada,
Smp_130470.1,31,30.24376329359095,0.0065873009070877,0.0023857054739944,2.902401862989551,0.4422195793973765,non_hub,205,222,2.662785133246858,3.142018592732245,0.47923345948538687,-0.22573635187397167,1.1842032708447456,0.479233459485387,0.479233459485387,sem_diferenca_relevante,
Smp_266830.2,31,30.234195254690704,0.003972936505149,0.0020144296701543,1.4131248868149815,1.6487948433738389,non_hub,205,223,1.147439010940814,1.6788107626891495,0.5313717517483356,0.6711411680531509,0.3916023354435203,0.5313717517483356,0.5313717517483356,maior_alopatrica_moderada,
Smp_173380.1,31,30.22207514954765,0.0098440628052636,0.0020888635701671,1.0006873791011657,0.7634783048294954,non_hub,205,224,0.7437632404103717,1.2576115177919593,0.5138482773815877,1.9358545961749933,-0.9081580414118178,0.5138482773815878,0.5138482773815878,maior_alopatrica_moderada,
Smp_140200.1,31,30.214045694327627,0.0052146530880543,0.0018826008014968,2.531327641839659,0.4491752950226432,non_hub,205,225,2.9797075991897044,2.0829476844896138,-0.8967599147000906,-1.6051099721434787,-0.18840985725670256,-0.8967599147000906,0.8967599147000906,maior_simpatrica_moderada,
Smp_344420.1,31,30.16884105667192,0.0090850736881719,0.0022807503165352,0.8954899638756133,0.8057832104139436,non_hub,205,226,0.1282215433926162,1.6627583843586105,1.5345368409659943,1.540970070920971,1.528103611011017,1.534536840965994,1.534536840965994,maior_alopatrica_forte,Smp_344420.1
Smp_334430.1,31,30.110962398905144,0.014584474691097,0.0019374472221813,0.9442049955889134,0.6786345674251995,non_hub,205,227,0.25370349731280223,1.6347064938650244,1.3810029965522221,1.633384243531791,1.1286217495726536,1.3810029965522221,1.3810029965522221,maior_alopatrica_forte,Smp_334430.1
Smp_326650.1,31,30.079594675328494,0.0110821284293992,0.0017442554941656,3.001926237339755,4.799645802750767,non_hub,205,228,2.3334571570671105,3.6703953176123996,1.336938160545289,4.598158529696883,-1.9242822086063054,1.336938160545289,1.336938160545289,maior_alopatrica_forte,Smp_326650.1
Smp_017470.1,30,29.453747369767637,0.0011589842083089,0.002058183169578,2.837948444743218,1.6988093639029038,non_hub,229,229,2.912412409398143,2.7634844800882936,-0.14892792930984955,-0.17271968920566616,-0.12513616941403316,-0.14892792930984966,0.14892792930984966,sem_diferenca_relevante,
