Name,SRR1140994,SRR1140995,SRR1142422,SRR1142423
Smp_013360.1,106.387,347.403,240.588,357.724
Smp_013360.2,561.814,2046.063,1648.896,1596.113
Smp_013370.1,218.0,564.0,630.0,717.0
Smp_013440.1,15.03,41.054,29.112,57.828
Smp_013460.1,172.0,490.0,451.0,569.0
Smp_013470.1,2084.0,7318.0,3889.0,7262.0
Smp_013520.1,251.0,629.0,772.0,1162.0
Smp_013540.1,0.0,0.0,0.0,0.0
Smp_013600.1,6.0,33.0,11.0,39.0
Smp_013610.1,42.0,121.0,150.0,166.0
Smp_013690.1,398.0,1278.0,1333.0,1645.0
Smp_013790.1,490.0,1377.0,1226.0,1774.0
Smp_013810.1,84.609,178.927,276.873,396.19
Smp_013815.1,827.391,4322.073,3045.127,4518.81
Smp_013840.1,526.958,1907.884,1767.421,1262.536
Smp_013840.2,471.042,1160.116,1083.579,2979.464
Smp_013860.1,105.0,826.0,849.0,1550.0
Smp_013870.1,108.735,390.886,287.525,437.748
Smp_013930.1,237.119,697.68,647.202,739.722
Smp_013950.1,21.0,120.0,138.0,158.0
Smp_014010.1,742.729,2023.375,2402.605,2739.694
Smp_014020.1,103.0,262.0,310.0,316.0
Smp_014050.1,225.0,769.0,679.0,1021.0
Smp_014080.1,89.1,391.224,255.129,385.817
Smp_014170.1,1082.0,2614.0,3526.0,4593.0
Smp_014260.1,70.182,178.998,118.375,281.603
Smp_014280.1,68.022,208.059,249.403,389.809
Smp_014290.1,280.0,855.0,574.0,875.0
Smp_014400.1,1348.135,2718.041,3887.424,4777.693
Smp_014400.2,368.799,657.526,1203.657,1759.109
Smp_014410.1,28.646,90.114,73.805,68.405
Smp_014430.1,1.0,5.004,2.001,27.825
Smp_014570.1,92.0,174.0,98.0,428.0
Smp_014620.1,198.788,793.55,691.935,732.482
Smp_014650.1,342.0,1387.0,850.0,991.0
Smp_014660.1,179.0,550.0,485.0,733.0
Smp_014670.1,849.0,2291.0,2102.0,3269.0
Smp_014680.1,27.0,49.0,21.0,73.0
Smp_014730.1,113.0,371.0,281.0,341.0
Smp_014780.1,677.0,3015.0,2601.0,4807.0
Smp_014800.1,20.278,118.449,142.872,150.882
Smp_014800.2,37.873,37.841,26.75,0.0
Smp_014840.1,43.0,219.0,138.0,263.0
Smp_014850.1,106.0,426.0,347.0,494.0
Smp_015020.1,5.029,1.002,33.438,12.12
Smp_015050.1,576.0,1319.0,1052.0,1840.0
Smp_015090.1,113.0,389.0,384.0,457.0
Smp_015100.1,2.0,6.0,14.0,11.0
Smp_015160.1,0.0,0.0,0.0,0.0
Smp_015220.1,9.078,19.516,10.531,47.441
Smp_015220.2,233.926,916.993,883.245,1078.778
Smp_015390.1,314.0,955.0,839.0,1168.0
Smp_015440.1,114.102,369.0,343.115,325.067
Smp_015480.1,148.937,816.953,557.785,796.978
Smp_015490.1,0.0,0.0,0.0,0.0
Smp_015530.1,654.0,2176.0,1816.0,2476.0
Smp_015630.1,29.0,58.0,97.997,154.0
Smp_015670.1,46.0,54.0,152.0,101.0
Smp_015690.1,610.0,2922.0,2243.0,2537.0
Smp_015710.1,123.0,390.0,410.0,484.0
Smp_015720.1,201.0,610.0,507.0,520.0
Smp_015730.1,151.0,471.0,372.0,432.0
Smp_015760.1,4.0,5.0,13.0,12.0
Smp_015780.1,667.0,2341.0,2003.0,2810.0
Smp_015800.1,223.22,642.529,648.53,733.128
Smp_015820.1,28.0,13.0,120.0,72.0
Smp_015840.1,484.0,923.0,1221.0,1234.0
Smp_015850.1,1178.0,3170.0,3067.0,3172.0
Smp_015860.1,83.0,250.0,212.0,293.0
Smp_015880.1,166.0,602.0,634.0,884.0
Smp_015900.1,55.0,159.0,133.0,202.0
Smp_015980.1,354.0,1048.0,701.0,976.0
Smp_016050.1,718.0,2155.0,2292.0,2871.0
Smp_016090.1,245.0,632.0,659.0,1083.0
Smp_016130.1,51.0,177.0,123.0,130.0
Smp_016180.1,510.437,1162.608,1118.115,1790.162
Smp_016200.1,280.0,924.0,747.0,979.0
Smp_016250.1,20.0,140.0,184.0,176.0
Smp_016340.1,51.0,207.0,203.0,261.0
Smp_016380.1,80.0,205.0,276.0,306.0
Smp_016410.1,345.0,1164.0,1096.0,1513.0
Smp_016490.1,121.0,252.0,215.0,431.0
Smp_016510.1,52.0,384.0,280.0,416.0
Smp_016540.1,0.0,0.0,0.0,3.015
Smp_016550.1,188.889,519.322,530.683,632.177
Smp_016550.2,9.111,11.678,16.317,35.808
Smp_016600.1,7.0,66.0,51.0,100.0
Smp_016630.1,386.001,1595.141,989.0,2109.0
Smp_016640.1,88.0,252.0,206.0,404.0
Smp_016670.1,205.0,448.0,369.0,488.0
Smp_016730.1,4556.971,13816.06,13526.855,22392.76
